field_id,yield
GJ-03,3155
GJ-08,3299
GJ-15,2920
GJ-16,2897
GJ-17,3051
GJ-18,2849
GJ-19,4494
GJ-20,3162
GJ-21,2983
GJ-23,3300
GJ-24,2295
GJ-25,3390
GJ-26,3061
GJ-27,3377
GJ-29,1594
GJ-30,4828
GJ-31,3284
GJ-32,3229
GJ-33,3431
GJ-35,2420
GJ-45,3007
GJ-46,2706
GJ-47,2490
GJ-48,3087
GJ-49,2530
GJ-50,3136
GJ-51,3131
GJ-53,3320
GJ-54,3213
GJ-55,2109
GJ-58,3199
GJ-59,3343
GJ-60,2868
GJ-61,3236
GJ-62,3045
GJ-63,3158
GJ-64,2680
GJ-65,2830
GJ-66,3220
GJ-67,3202
GJ-68,1746
GJ-69,1159
GJ-70,2481
GJ-71,1512
GJ-72,2320
GJ-73,3969
GJ-74,3135
GJ-75,1947
GJ-77,2193
GJ-78,3189
